Code	Summary	Status	Source	State	Cause of Error	Comment
6051	Actuator ILC Read Error	Fault	Communications	Fault State	ILC responded with: an exception code, did not respond at all (timeout), did not receive command, or reported fault status	Number of telemetry losses exceeded threshold
6052	Monitoring ILC Read Error	Warning	Communications	Unchanged	ILC responded with an exception code or did not respond at all (timeout)	Based on a monitoring ILC read error. Provides warning for any/all monitoring sensors. Further range checking is performed on signals critical for closed loop control (mirror temp)
6053	cRIO Communication Error	Fault	Communications	Fault State	Loss of communication between cRIO and M2 Controller	cRIO to detect the loss of communications also. cRIO itself goes into fault state.
6054	ILC State Transition Error	Fault	Control Sensor	Fault State	Internal ILC issue. ILC did not change state	Currently - three retries are implemented.
6055	Excessive Force Detected	Fault	Control Sensor	Fault State	Measured force exceeded programmable threshold	Evaluated on an individual actuator basis
6056	Actuator Limit Switch Triggered [Closed-loop]	Fault	Limit Switches	Fault State	An actuator responded with a closed limit switch in any direction	Over SAL, only one alarm, locally, log all alarms individually
6057	Actuator Limit Switch Triggered [Open-loop]	Warning	Limit Switches	Unchanged	An actuator responded with a closed limit switch in any direction	Over SAL, only one alarm, locally, log all alarms individually
6058	Inclinometer Error [Fault]	Fault	Control Sensor	Fault State	Communication error or ILC reported fault	ILC reports bad value for inclinometer error
6059	Inclinometer Error [Warning]	Warning	Control Sensor	Unchanged	Communication error or ILC reported fault	ILC reports bad value for inclinometer error (when not actively using the inclinometer for closed loop control)
6060	Inclinometer Difference Error	Fault	Control Sensor	Fault State	Excessive angular difference between TCS elevation and local inclinometer	Difference error checking is configurable
6061	Motor Power Supply(s) Over/Under Voltage [Fault]	Fault	Power Supply	Fault State	Measured voltage exceed programmable limits (2-sided)	Need to cross check tolerance with supplies. Configurable thresholds for voltage tolerance.
6062	Motor Power Supply(s) Over/Under Voltage [Warning]	Warning	Power Supply	Unchanged	Measured voltage exceed programmable limits (2-sided)	Need to cross check tolerance with supplies. Configurable thresholds for voltage tolerance.
6063	Comm Power Supply(s) Over/Under Voltage [Fault]	Fault	Power Supply	Fault State	Measured voltage exceed programmable limits (2-sided)	Need to cross check tolerance with supplies. Configurable thresholds for voltage tolerance.
6064	Comm Power Supply(s) Over/Under Voltage [Warning]	Warning	Power Supply	Unchanged	Measured voltage exceed programmable limits (2-sided)	Need to cross check tolerance with supplies. Configurable thresholds for voltage tolerance.
6065	Excessive Motor Current	Fault	Power Supply	Fault State	Measured current exceeds programmable limit (1-sided)	Initial error threshold setting based on measured values, but threshold will be configurable via software.
6066	Excessive Comm Current	Fault	Power Supply	Fault State	Measured current exceeds programmable limit (1-sided)	Initial error threshold setting based on measured values, but threshold will be configurable via software.
6067	Power Relay Opening Fault	Fault	Power Supply	Fault State	Power relay did not open when commanded by software.	Power is not measured after configurable delay when closing relays. Used for detecting the lack of opening of relays when attempting to remove power
6068	Power Supply Health Fault	Fault	Power Supply	Fault State	Binary outputs signal power supply health fault	Binary output from power supply signals determine health. Signals: Internal Fault, Power Supply ON.
6069	Multi-breaker Trip on Same COMM Power Feed	Fault	Power Supply	Fault State	Breaker feedback showed two or more breaker trips	Two breaker trips. Requires two breakers to open on the same feed to generate a fault.
6070	Multi-breaker Trip on Same MOTOR Power Feed	Fault	Power Supply	Fault State	Breaker feedback showed two or more breaker trips	Two breaker trips. Requires two breakers to open on the same feed to generate a fault.
6071	Single Breaker Trip	Warning	Power Supply	Unchanged	Breaker feedback showed single breaker trip	One breaker trip is a warning.
6072	Power Supply Load Sharing Error	Fault	Power Supply	Unchanged	Based on binary output from redundancy module	From redundancy module - balances input power from power supplies.
6073	cRIO 50 msec Cycle Time Monitor [Fault]	Fault	Control Sensor	Fault State	Measured loop time exceeded 50 ms for three consecutive cycles	If there are three consecutive warnings, this is a fault.
6074	cRIO 50 msec Cycle Time Monitor [Warning]	Warning	Control Sensor	Unchanged	Measured loop time exceeded 50 ms for one cycle.	Warning if a cycle is longer than 50 msec.
6075	Excessive Cell Temperature Differential	Warning	Env. Temp	Unchanged	Intake-Exhaust temperature diff exceeded programmable threshold	Configurable threshold.  Will use the lowest of the inputs and the highest of the exhaust.
6076	Configurable parameter threshold error	Fault	Configuration	Fault State	The software properly read in a file but some parameter is out of spec	The parameters did not pass a sanity check
6077	Configurable Parameter File Read Error	Fault	Configuration	Fault State	The software cannot properly read in the file or something is corrupted with the data read from the file	Is only assessed when software parameters are initialized
6078	Displacement Sensor Out of Range	Warning	Sensor Range	Unchanged	Sensor value out of range	Range not programmable (check for reasonableness)
6079	Inclinometer Out of Range	Fault	Sensor Range	Fault State	Sensor value out of range	Range not programmable (check for reasonableness)
6080	Mirror Temperature Sensor Out of Range [Fault]	Fault	Sensor Range	Fault State	Sensor value out of range	Range not programmable (check for reasonableness)
6081	*** Reserved ***	X	X	X	This fault code is reserved for future expansion	X
6082	Airflow Temperature Sensor Out of Range	Warning	Sensor Range	Unchanged	Sensor value out of range	Range not programmable (check for reasonableness)
6083	Axial Actuator Encoder Out of Range	Fault	Sensor Range	Fault State	Sensor value out of range	Range not programmable (check for reasonableness)
